,pH,Cond,DOC,BLM-based chronic PNEC,BLM-based acute PNEC
0,7.722645034,387.0,3.533333333,10.457779,14.908837
1,8.43816171,302.3333333,2.133333333,5.0858445,7.0096383
2,7.962741366,419.3333333,2.3,5.7451215,9.8278885
3,7.228001344,660.0,3.3,13.473631,18.174639
4,8.316241031,186.0,1.366666667,3.155058,5.3208475
5,7.43816171,276.6666667,1.566666667,4.804399,8.941514
6,7.693577255,231.6666667,1.733333333,4.5131183,8.560353
7,8.008412543,191.0,2.266666667,5.78418,8.901143
8,7.642971351,141.3333333,1.0,2.7586188,5.7019506
9,7.519387168,199.0,1.566666667,4.635931,8.313908
10,7.752724375,180.6666667,1.233333333,3.0437765,6.464489
11,7.864046834,88.33333333,1.2,3.6889606,5.99026
12,7.968958437,217.3333333,2.933333333,7.766351,11.115178
13,7.734792109,1480.333333,9.266666667,30.64598,31.491364
14,7.966195228,141.6666667,1.933333333,5.256587,8.024764
15,7.666318187,357.3333333,3.266666667,9.887962,14.333862
16,7.517667147,550.6666667,3.8,14.7542515,17.72251
17,7.130843836,558.3333333,4.166666667,16.270008,21.784245
18,7.564279895,410.0,2.1,6.398088,11.098267
19,6.916284946,465.0,4.9,16.573517,25.408907
20,7.257007448,603.6666667,4.633333333,20.142654,22.917835
21,6.790197544,362.6666667,2.5,6.833898,14.212616
22,7.518119762,563.0,3.9,15.283985,18.093262
23,7.39235837,1006.333333,3.566666667,16.622091,18.94461
24,7.444026063,778.0,5.066666667,24.051197,23.153355
25,7.796492532,196.0,3.733333333,11.407705,14.663811
26,7.344026063,327.3333333,2.633333333,10.186884,13.596427
27,7.731287254,252.3333333,1.766666667,4.4734926,8.63101
28,7.644216512,322.6666667,2.833333333,8.419561,12.892066
29,7.930843836,317.3333333,3.766666667,10.199104,13.968742
30,7.664279895,247.6666667,3.566666667,11.255171,15.045079
31,7.866318187,271.6666667,4.766666667,14.019657,17.372385
32,7.59235837,317.6666667,3.366666667,10.962231,15.013985
33,7.416241031,869.0,4.966666667,24.504358,23.233265
34,7.763336204,474.0,4.1,12.421055,16.562119
35,8.179591483,775.6666667,5.833333333,19.159601,17.462471
36,7.419553478,191.6666667,2.9,11.503651,13.7203045
37,7.186459584,1343.333333,9.233333333,40.17092,40.952198
38,7.163336204,133.6666667,2.033333333,8.205791,10.543101
39,7.525426711,234.6666667,2.833333333,9.629944,13.166128
40,7.558332562,146.0,2.7,10.071541,12.374095
41,7.846482786,240.0,3.733333333,10.647913,14.3447695
42,7.611505792,161.6666667,2.966666667,10.426771,13.113237
43,8.091632927,323.0,5.3,15.367607,16.829142
44,7.657097796,666.6666667,6.566666667,24.455624,25.41493
45,8.061272463,231.5333333,1.7,3.9317873,7.1446633
46,7.684850799,221.8,1.433333333,3.6223607,7.514247
47,8.218023066,305.2,1.666666667,3.8095396,6.719332
48,7.981956143,174.7,1.766666667,4.392189,7.4702964
49,8.087957572,171.0333333,1.366666667,3.224347,5.930062
50,6.991331557,236.4,7.566666667,29.223436,34.946487
51,7.809688166,245.9,2.6,6.897451,10.99888
52,7.957931175,357.9,3.333333333,8.755474,12.619352
53,7.296271202,197.1,1.7,6.0051246,9.263899
54,7.369675388,332.0,1.633333333,5.4011807,9.683874
55,7.332544943,414.6,1.4,4.8843184,9.36006
56,7.415546771,308.7333333,1.4,4.327702,8.559651
57,7.092880534,194.0333333,2.2,7.73942,11.551616
58,7.17745458,215.5333333,3.033333333,11.469652,15.103209
59,7.176030535,359.0,3.633333333,13.63563,18.43641
60,7.739373227,352.1666667,3.133333333,8.876322,13.420059
61,8.388797872,358.2333333,5.2,15.354347,14.076087
62,7.409125049,809.0666667,4.433333333,21.535336,21.376837
63,7.058413709,502.3,3.566666667,12.811663,19.403505
64,8.590699862,1208.0,5.233333333,18.262863,13.158172
65,7.533546314,581.2333333,3.5,13.243158,16.658928
66,7.283495912,385.1333333,3.833333333,15.664198,18.847864
67,7.025137836,968.2,4.666666667,18.07285,25.832035
68,6.999575893,213.7333333,2.1,6.8122735,11.281109
69,7.683484674,16232.1,2.3,60.72797,34.097656
70,7.56514764,775.6666667,3.133333333,11.784924,15.687032
71,6.709641892,622.6666667,7.256666667,21.667542,37.30919
72,7.691780187,2202.333333,27.35666667,90.77367,74.07506
73,7.188851158,213.9,6.303333333,28.011963,28.54242
74,8.016566955,322.7333333,6.096666667,18.239605,19.68287
75,6.702067117,546.5,7.376666667,21.515846,37.309753
76,7.387658003,363.1666667,7.243333333,35.65953,30.80403
77,7.637221764,199.8666667,5.6,21.129698,22.210016
78,7.910152552,235.6666667,6.24,19.66198,21.321531
79,7.199502331,260.3333333,7.29,32.624016,32.604683
80,8.492330348,339.6666667,7.433333333,24.124466,17.87998
81,7.095226419,226.1333333,7.42,31.363205,33.761303
82,7.436551488,318.3,9.76,47.04498,39.33423
83,7.620739165,254.8666667,6.576666667,24.720562,25.656115
84,7.876139166,252.9666667,6.87,22.003017,23.548729
85,7.571016003,252.8,5.866666667,22.779297,23.739256
86,7.227920331,340.7666667,7.743333333,35.14976,34.40614
87,7.750849174,251.6333333,6.39,21.409746,23.558378
88,7.053189314,300.2666667,7.373333333,29.117907,34.18448
89,7.129658642,443.1666667,7.556666667,32.000004,34.970036
90,8.368449341,237.8,4.603333333,13.4002,12.893432
91,7.976968804,210.8333333,4.446666667,13.096888,15.494417
92,8.265309129,98.45,3.25,11.441092,10.950128
93,7.3,199.0,2.5,10.217558,12.524589
94,8.6,548.0,2.7,7.5017457,8.003544
95,7.9,69.0,2.7,11.365313,12.081477
96,7.6,1974.0,4.4,14.446756,21.007902
97,8.0,337.0,1.8,4.200303,8.007398
98,7.6,682.0,1.5,5.0174394,9.956424
99,6.2,166.0,1.9,2.0246868,7.638557
100,7.8,271.0,1.9,4.69062,8.8821335
101,7.2,182.0,1.0,3.2451909,6.3944583
102,7.5,299.0,1.5,4.3669124,8.662682
103,7.4,294.0,1.2,3.660623,7.7552867
104,8.5,152.0,1.1,2.5758333,4.1623297
105,8.8,392.0,2.8,7.085351,7.2538824
106,7.9,2200.0,8.6,23.254356,27.335562
107,8.3,138.0,1.9,5.0777755,6.709315
108,8.5,500.0,3.1,8.569723,9.145467
109,7.2,936.0,4.3,18.204712,22.971416
110,8.3,910.0,4.8,15.855711,14.261916
111,7.6,472.0,1.7,5.031611,9.841585
112,7.3,939.0,4.9,22.49663,24.268818
113,7.4,1163.0,5.5,26.74232,25.550596
114,7.6,217.0,2.0,5.829096,9.754554
115,7.4,630.0,4.5,21.44738,21.318836
116,7.3,511.0,4.5,19.659174,21.798
117,7.5,959.0,5.9,26.703133,25.461504
118,7.288587393,212.0,2.6,10.451998,13.023998
119,6.722020246,277.5,2.4,6.16793,12.898064
120,7.07445762,233.5,1.55,5.427688,9.0838375
121,6.588587393,253.0,2.65,5.9092016,13.418893
122,6.947128105,198.0,3.6,11.981773,17.697271
123,6.947128105,257.5,2.65,8.189465,14.019644
124,7.088587393,307.0,2.8,9.547907,14.901267
125,6.981698948,285.0,3.85,12.784729,19.427704
126,7.147128105,823.0,5.25,22.224148,26.75524
127,7.188587393,278.5,4.4,17.369953,21.0677
128,7.388587393,550.5,5.6,27.280258,25.190506
129,7.187509074,260.0,2.05,7.3776035,11.267611
130,7.255489533,1333.5,11.0,50.87467,45.501614
131,7.824595133,137.0,1.95,5.6302032,8.612016
132,7.57445762,202.5,1.8,5.27045,9.047432
133,7.022020246,202.0,2.6,8.7407875,13.359426
134,7.081698948,250.5,2.8,9.609133,14.514638
135,8.347128105,221.5,1.95,4.64278,6.741751
136,7.824595133,344.5,4.0,11.367037,15.511619
137,7.267834376,690.0,5.75,26.501291,27.221157
138,7.534873069,202.4,1.04,2.865821,6.3553452
139,7.369150516,229.9,0.66,1.9649332,5.3416495
140,7.542280546,305.2,0.69,1.9411718,5.7450438
141,7.866731553,215.2,1.4,3.2744255,6.8416276
142,8.519539646,322.0,0.65,1.5511951,3.6662328
143,7.115844832,1618.5,4.53,16.79477,25.991653
144,7.653628145,1082.5,0.08,1.6353548,6.5392075
145,7.403647776,1740.0,3.23,13.582989,19.174305
146,7.063293956,291.75,0.33,1.1831404,4.538085
147,6.981091309,253.55,0.37,1.1812112,4.368073
148,7.437128105,301.4,0.08,0.5588647,3.4091394
149,7.39065644,194.3,0.27,0.9158447,3.57925
150,7.509275318,207.9,0.54,1.5193031,4.622449
151,7.472020246,269.7,1.1,3.1489217,7.101382
152,7.640536946,369.25,1.73,4.682492,9.354182
153,7.735044745,384.5,1.17,2.9292738,7.280503
154,8.024691405,487.0,3.84,10.664486,13.76449
155,7.633719579,802.0,3.34,11.835705,15.890798
156,7.553667738,278.0,1.24,3.3778505,7.478973
157,7.955596681,848.5,2.65,7.8004465,11.7525
158,7.60842351,384.0,1.44,3.9715583,8.558599
159,7.524691405,540.5,1.6,5.277638,10.073887
160,7.587128105,837.0,3.21,11.932653,15.906117
161,7.209884881,228.15,0.95,3.0054781,6.5436773
162,7.440639845,15887.85,1.21,38.73997,35.509335
163,7.94849251,625.55,1.54,4.1978197,8.390386
164,6.9,605.0,7.7,28.243032,38.113533
165,7.8,2663.0,24.7,70.27474,63.1051
166,7.3,273.0,6.5,30.358597,28.667562
167,7.4,388.0,6.6,31.641048,28.358562
168,6.8,546.0,7.8,25.749023,38.90255
169,7.4,469.0,8.5,43.103107,35.31043
170,7.7,260.0,6.2,21.346996,23.511463
171,8.0,193.0,4.8,14.682018,16.358679
172,7.4,269.0,9.8,49.9829,40.12298
173,7.0,308.0,7.2,27.115463,33.81058
174,7.6,241.0,7.0,27.443743,27.360357
175,9.1,305.0,6.5,18.505276,12.535945
176,7.3,370.0,6.9,32.189835,30.489809
177,7.4,370.0,6.0,28.126902,26.122437
178,7.3,198.0,6.3,30.941143,27.76542
179,7.3,297.0,6.4,29.565357,28.352823
180,8.3,301.0,5.7,17.167511,15.914701
181,7.5,481.0,8.3,37.040653,33.155693
182,7.5,342.0,5.3,21.394114,22.581324
183,8.4,174.0,4.0,11.98535,11.403436
184,7.9,180.0,4.0,12.176184,14.8021755
185,7.6,91.0,2.9,13.30551,13.646943
