source,Cond (§Á/§¯),pH,Na (mg/L),Mg (mg/L),Ca (mg/L),Alkalinity (§· CaCO3/L),DOC (mg/L)
1,387,7.722645034,35.46666667,5.27,31.37333333,77.33333333,3.533333333
2,302.3333333,8.43816171,20.4,3.693333333,23.18333333,62,2.133333333
3,419.3333333,7.962741366,27.67333333,6.503333333,32.02,71.66666667,2.3
4,660,7.228001344,84.96666667,5.213333333,56.05,73.33333333,3.3
5,186,8.316241031,9.983333333,3.69,16.75,43.66666667,1.366666667
6,276.6666667,7.43816171,6.87,8.106666667,31.15666667,88.66666667,1.566666667
7,231.6666667,7.693577255,9.423333333,6.146666667,27.9,73.33333333,1.733333333
8,191,8.008412543,9.873333333,3.2,17.32666667,45,2.266666667
9,141.3333333,7.642971351,5.143333333,2.36,12.36666667,31,1
10,199,7.519387168,11.22333333,3.45,17.21333333,47.33333333,1.566666667
11,180.6666667,7.752724375,7.79,3.526666667,17.01333333,40.66666667,1.233333333
12,88.33333333,7.864046834,4.816666667,1.71,8.68,23.66666667,1.2
13,217.3333333,7.968958437,106.4666667,5.456666667,36.19,45,2.933333333
14,1480.333333,7.734792109,112.0633333,4.91,30.10333333,104.3333333,9.266666667
15,141.6666667,7.966195228,23.58666667,4.17,19.63333333,59.33333333,1.933333333
16,357.3333333,7.666318187,204.28,6.206666667,41.89333333,51.66666667,3.266666667
17,550.6666667,7.517667147,53.44333333,6.373333333,33.21333333,66.66666667,3.8
18,558.3333333,7.130843836,48.72,6.596666667,31.77333333,66,4.166666667
19,410,7.564279895,16.34333333,4.253333333,28.09666667,65.33333333,2.1
20,465,6.916284946,49.45666667,5.7,31.21333333,72.66666667,4.9
21,603.6666667,7.257007448,57.00666667,6.29,34.44666667,74.33333333,4.633333333
22,362.6666667,6.790197544,11.97333333,4.403333333,21.72333333,58.33333333,2.5
23,563,7.518119762,48.20666667,6.836666667,35.92,95.33333333,3.9
24,1006.333333,7.39235837,39.61,6.48,33.65666667,99,3.566666667
25,778,7.444026063,72.09333333,6.91,50.09,83,5.066666667
26,196,7.796492532,6.853333333,5.18,22.31,67.06666667,3.733333333
27,327.3333333,7.344026063,12.54333333,7.513333333,34.83333333,82.93333333,2.633333333
28,252.3333333,7.731287254,18.64,3.97,20.84,56.56666667,1.766666667
29,322.6666667,7.644216512,18.19,6.373333333,27.84666667,74.63333333,2.833333333
30,317.3333333,7.930843836,20.53666667,5.253333333,23.01,65,3.766666667
31,247.6666667,7.664279895,12.18666667,5.093333333,22.93666667,61.73333333,3.566666667
32,271.6666667,7.866318187,11.87,6.15,26.12333333,69.4,4.766666667
33,317.6666667,7.59235837,22.83333333,4.593333333,23.16,68.33333333,3.366666667
34,869,7.416241031,41.32333333,7.233333333,55.1,73.8,4.966666667
35,474,7.763336204,14.42666667,4.883333333,22.35666667,61.93333333,4.1
36,775.6666667,8.179591483,41.34,7.156666667,34.91666667,81.03333333,5.833333333
37,191.6666667,7.419553478,11.32666667,3.056666667,16.22666667,49.03333333,2.9
38,1343.333333,7.186459584,38.53666667,11.81,70.19,72.3,9.233333333
39,133.6666667,7.163336204,7.083333333,2.243333333,11.4,36.7,2.033333333
40,234.6666667,7.525426711,14.15,4.173333333,20.59666667,55.53333333,2.833333333
41,146,7.558332562,6.84,2.646666667,11.09333333,34.4,2.7
42,240,7.846482786,15.64333333,4.563333333,19.06333333,52.96666667,3.733333333
43,161.6666667,7.611505792,11.98,3.056666667,14.37666667,41.16666667,2.966666667
44,323,8.091632927,25.89,3.67,21.69666667,48.66666667,5.3
45,666.6666667,7.657097796,40.47666667,9.653333333,26.64666667,73.23333333,6.566666667
46,231.5333333,8.061272463,13.04192534,5.397218597,22.13782533,52,1.7
47,221.8,7.684850799,12.06424462,3.648260833,23.30192066,56,1.433333333
48,305.2,8.218023066,14.49137459,7.019903455,32.39925257,70.33333333,1.666666667
49,174.7,7.981956143,8.122749833,4.354777503,17.24507711,48.33333333,1.766666667
50,171.0333333,8.087957572,14.6161548,5.28043507,25.27199827,46.33333333,1.366666667
51,236.4,6.991331557,184.9677348,6.787820955,53.62605493,130.6666667,7.566666667
52,245.9,7.809688166,22.7568949,7.385409355,30.76517378,80.66666667,2.6
53,357.9,7.957931175,52.31112238,6.061329255,38.02971496,67.33333333,3.333333333
54,197.1,7.296271202,12.04437179,3.50731461,19.93992378,53.66666667,1.7
55,332,7.369675388,26.22733439,6.533662156,27.14509777,59.33333333,1.633333333
56,414.6,7.332544943,16.82848554,5.755452285,23.09594223,58.33333333,1.4
57,308.7333333,7.415546771,10.74848018,4.984095981,16.14749628,45.66666667,1.4
58,194.0333333,7.092880534,12.29080609,4.614018295,16.39661141,51.66666667,2.2
59,215.5333333,7.17745458,13.18568368,4.907185054,17.80589589,54.66666667,3.033333333
60,359,7.176030535,27.7605226,6.233726981,24.75142261,60.66666667,3.633333333
61,352.1666667,7.739373227,31.20093099,5.291755391,25.94832025,60.66666667,3.133333333
62,358.2333333,8.388797872,32.55350227,6.061749199,23.28508273,65.66666667,5.2
63,809.0666667,7.409125049,125.1289348,4.850837286,27.02307324,66.66666667,4.433333333
64,502.3,7.058413709,26.20687396,5.238964227,23.22734023,52,3.566666667
65,1208,8.590699862,99.14264654,10.94749639,34.88041807,72.66666667,5.233333333
66,581.2333333,7.533546314,32.05333859,7.574215116,26.03255058,70.33333333,3.5
67,385.1333333,7.283495912,37.41627379,6.652993676,24.7408321,58.33333333,3.833333333
68,968.2,7.025137836,47.50556007,3.966091913,28.54439526,30.66666667,4.666666667
69,213.7333333,6.999575893,12.12547116,5.462420446,18.26579229,49,2.1
70,16232.1,7.683484674,3474.409975,399.6322578,131.1005759,56.66666667,2.3
71,775.6666667,7.56514764,46.4463333,8.700715426,29.06688128,61.33333333,3.133333333
72,622.6666667,6.709641892,68.8311,6.543963333,25.94793333,54.6,7.256666667
73,2202.333333,7.691780187,53.49593333,5.227093333,126.0713667,361.2666667,27.35666667
74,213.9,7.188851158,16.49333333,4.119586667,18.20476667,49.66666667,6.303333333
75,322.7333333,8.016566955,28.63958333,5.046676667,23.35951667,51.76666667,6.096666667
76,546.5,6.702067117,58.6389,6.767996667,23.45803333,67.1,7.376666667
77,363.1666667,7.387658003,31.51036667,5.438813333,21.49165,56.06666667,7.243333333
78,199.8666667,7.637221764,14.41325,3.930443333,18.60773333,48.46666667,5.6
79,235.6666667,7.910152552,15.44116667,5.489936667,20.69421667,49.83333333,6.24
80,260.3333333,7.199502331,14.3377,5.98691,23.10706667,57.63333333,7.29
81,339.6666667,8.492330348,30.44988333,5.456463333,21.04258333,59.73333333,7.433333333
82,226.1333333,7.095226419,12.44712,4.654953333,21.0425,55.36666667,7.42
83,318.3,7.436551488,22.74491667,5.14255,23.53671667,51.46666667,9.76
84,254.8666667,7.620739165,20.7139,4.570036667,18.6377,48.56666667,6.576666667
85,252.9666667,7.876139166,19.85313333,4.466056667,17.8122,50.96666667,6.87
86,252.8,7.571016003,14.4871,4.68518,19.32796667,48.53333333,5.866666667
87,340.7666667,7.227920331,24.42748333,7.50154,25.67618333,55.73333333,7.743333333
88,251.6333333,7.750849174,19.5798,4.94873,18.77396667,46.26666667,6.39
89,300.2666667,7.053189314,22.16153333,4.591413333,16.36823333,42.46666667,7.373333333
90,443.1666667,7.129658642,41.3976,8.569393333,22.37496667,54,7.556666667
91,237.8,8.368449341,16.7003,4.25338,20.51055,57.33333333,4.603333333
92,210.8333333,7.976968804,15.55176667,3.55202,18.56416667,46.33333333,4.446666667
93,98.45,8.265309129,5.0004,2.21484,9.267143333,29.76666667,3.25
94,199,7.3,14.52,3.37,24.76,60,2.5
95,548,8.6,25.97,4.34,27.82,68,2.7
96,69,7.9,34.34,6.54,33.06,77,2.7
97,1974,7.6,137.67,5.89,102.09,23,4.4
98,337,8,13.48,4,17.21,44,1.8
99,682,7.6,7.68,5.29,26.6,69,1.5
100,166,6.2,8.34,4.82,22.69,60,1.9
101,271,7.8,10.29,3.22,14.71,35,1.9
102,182,7.2,4.92,2.23,10.73,26,1
103,299,7.5,12.65,3.49,17.26,40,1.5
104,294,7.4,9.76,3.59,18.06,47,1.2
105,152,8.5,4.66,1.46,7.39,25,1.1
106,392,8.8,56.38,4.78,25.02,56,2.8
107,2200,7.9,460.39,10.37,68.41,136,8.6
108,138,8.3,5.86,5.27,19.98,63,1.9
109,500,8.5,83.2,5.24,25.52,71,3.1
110,936,7.2,64.35,7.76,36.04,72,4.3
111,910,8.3,54.87,7.89,35.34,73,4.8
112,472,7.6,17.2,5.32,31.56,80,1.7
113,939,7.3,53.74,6.74,34.58,55,4.9
114,1163,7.4,78.21,8.53,43.89,50,5.5
115,217,7.6,12.8,5.46,28.63,75,2
116,630,7.4,81.9,7.96,40.68,74,4.5
117,511,7.3,51.02,9.99,45.17,126,4.5
118,959,7.5,143.62,9.89,76.91,100,5.9
119,212,7.288587393,6.21,4.59,19.06,69.7,2.6
120,277.5,6.722020246,12.63,7.535,33.05,83.8,2.4
121,233.5,7.07445762,20.325,4.02,19.05,64.25,1.55
122,253,6.588587393,18.845,5.505,22.98,78.95,2.65
123,198,6.947128105,14.305,4.16,18.34,61.2,3.6
124,257.5,6.947128105,11.365,4.89,18.995,71.15,2.65
125,307,7.088587393,13.285,5.755,23.61,79.25,2.8
126,285,6.981698948,17.065,3.61,16.405,60.2,3.85
127,823,7.147128105,31.225,4.985,36.415,60,5.25
128,278.5,7.188587393,12.01,5.43,20.64,71.05,4.4
129,550.5,7.388587393,28.475,6.48,26.295,78.15,5.6
130,260,7.187509074,9.79,2.91,13.535,52.5,2.05
131,1333.5,7.255489533,43.395,9.27,77.515,108.1,11
132,137,7.824595133,6.165,2.06,9.56,39.25,1.95
133,202.5,7.57445762,6.31,3.085,16.85,43.1,1.8
134,202,7.022020246,9.125,3.07,14.395,43.25,2.6
135,250.5,7.081698948,18.64,4.33,17.75,60.8,2.8
136,221.5,8.347128105,9.685,3.11,15.895,42.35,1.95
137,344.5,7.824595133,22.995,2.525,16.555,44.4,4
138,690,7.267834376,43.18,6.01,23.48,87.55,5.75
139,202.4,7.534873069,14.01,5.36,22.58,34,1.04
140,229.9,7.369150516,14.47,4.21,25.93,52,0.66
141,305.2,7.542280546,17.03,7.21,34.13,59,0.69
142,215.2,7.866731553,11.61,4.88,21,37,1.4
143,322,8.519539646,23.65,6,28.06,64,0.65
144,1618.5,7.115844832,203.22,7.93,60.53,143,4.53
145,1082.5,7.653628145,19.26,7.79,36.72,95,0.08
146,1740,7.403647776,79.7,8.14,48.48,97,3.23
147,291.75,7.063293956,13.25,3.51,19.91,43,0.33
148,253.55,6.981091309,26.68,6.7,26.95,84,0.37
149,301.4,7.437128105,17.83,6.78,24.3,54,0.08
150,194.3,7.39065644,12.03,5.64,17.64,41,0.27
151,207.9,7.509275318,13.5,5.08,17.92,44,0.54
152,269.7,7.472020246,29.84,7.17,18.46,48,1.1
153,369.25,7.640536946,37.82,7.73,27.93,85,1.73
154,384.5,7.735044745,35.55,7.33,30.32,71,1.17
155,487,8.024691405,48.58,7.5,24.53,96,3.84
156,802,7.633719579,170.34,6.31,39.65,92,3.34
157,278,7.553667738,25.37,5.45,27.68,49,1.24
158,848.5,7.955596681,92.86,9.99,43.61,77,2.65
159,384,7.60842351,31.36,8.56,29.3,71,1.44
160,540.5,7.524691405,52.38,11.94,37.98,77,1.6
161,837,7.587128105,109.52,7.54,53.28,88,3.21
162,228.15,7.209884881,13.44,6.28,21.84,34,0.95
163,15887.85,7.440639845,6021.44,708.38,231.71,85,1.21
164,625.55,7.94849251,60.74,11.06,36.38,81,1.54
165,605,6.9,69.66,5.38,26.17,89.6,7.7
166,2663,7.8,125.87,12.44,380.36,437.6,24.7
167,273,7.3,21.17,4.76,23.05,60.9,6.5
168,388,7.4,35.24,5.67,25.09,49.4,6.6
169,546,6.8,58.11,6.17,20.7,34.9,7.8
170,469,7.4,42.66,5.75,23.18,34.1,8.5
171,260,7.7,22.47,3.55,18.34,38.4,6.2
172,193,8,12.19,4.2,16.26,38,4.8
173,269,7.4,16.62,4.99,21.48,45.2,9.8
174,308,7,27.4,4.13,17.82,31.1,7.2
175,241,7.6,15.33,4.63,21.1,53.9,7
176,305,9.1,24.08,5.31,23.7,57.5,6.5
177,370,7.3,33.87,5.42,21.01,41.8,6.9
178,370,7.4,23.18,4.27,17.85,45.5,6
179,198,7.3,12.66,3.63,15.66,30.3,6.3
180,297,7.3,21.58,5.83,23.79,44.8,6.4
181,301,8.3,25.59,5.02,19.68,42.4,5.7
182,481,7.5,59.64,5.11,18.53,62.1,8.3
183,342,7.5,36.36,5.83,16.22,40.9,5.3
184,174,8.4,11.24,3.01,15.78,41.7,4
185,180,7.9,12.29,2.7,15.33,35.9,4
186,91,7.6,5.57,1.9,7.85,22.3,2.9
